1733379185,Jan,(1,2),(1,2),(1,3),(8,1),(9,2)
1525791835,Janusz,(4,1),(4,3),(3,2),(3,1),(3,1)
1525451835,Jan,(5,1),(2,1),(2,2),(3,1),(3,2)
1523444835,Paweł,(1,1),(1,2),(1,3),(4,1),(6,2)
1525791835,Paweł,(1,3),(1,3),(1,3),(4,2),(7,2)
1225757835,Janusz,(1,1),(1,2),(1,2),(3,2),(3,1)
1732791835,Jan,(1,3),(1,2),(1,0),(8,2),(5,1)
1525791835,Janusz,(1,1),(4,0),(2,2),(5,1),(3,2)
152551835,Jan,(5,1),(2,0),(4,3),(3,1),(3,2)
1525342835,Paweł,(9,1),(1,2),(5,3),(4,1),(6,2)
1525791835,Paweł,(1,3),(1,3),(1,3),(3,1),(7,2)
1525757835,Janusz,(1,1),(3,2),(1,2),(3,1),(3,1)
1755791835,Jan,(1,3),(1,2),(1,0),(8,1),(9,2)
1525791835,Janusz,(1,0),(9,3),(1,4),(3,1),(3,2)
1524518335,Jan,(5,1),(2,1),(2,3),(3,1),(3,2)
1212214835,Paweł,(1,1),(1,0),(3,3),(4,1),(6,2)
1525767835,Paweł,(1,2),(1,1),(1,3),(3,1),(7,2)


